Geneid	GeneName	GeneType	ESC_Day0_rep1	ESC_Day0_rep2	PreNCC_Day3_rep1	PreNCC_Day3_rep2	NCC_Day5_rep1	NCC_Day5_rep2
ENSG00000223972.5	DDX11L1	transcribed_unprocessed_pseudogene	0	0	0	0	0	0
ENSG00000227232.5	WASH7P	unprocessed_pseudogene	2	0	1	0	0	1
ENSG00000278267.1	MIR6859-1	miRNA	4	2	1	0	9	2
ENSG00000243485.5	MIR1302-2HG	lncRNA	0	0	1	0	2	0
ENSG00000284332.1	MIR1302-2	miRNA	0	0	0	0	0	0
ENSG00000237613.2	FAM138A	lncRNA	0	0	0	0	0	0
ENSG00000268020.3	OR4G4P	unprocessed_pseudogene	0	0	0	0	0	0
ENSG00000240361.2	OR4G11P	transcribed_unprocessed_pseudogene	0	0	0	0	0	0
ENSG00000186092.7	OR4F5	protein_coding	0	0	0	0	0	0
ENSG00000238009.6	ENSG00000238009	lncRNA	1	2	1	3	0	1
ENSG00000239945.1	ENSG00000239945	lncRNA	0	0	0	0	0	0
ENSG00000233750.3	CICP27	processed_pseudogene	0	0	0	0	0	0
ENSG00000268903.1	ENSG00000268903	processed_pseudogene	46	41	25	16	29	24
ENSG00000269981.1	ENSG00000269981	processed_pseudogene	50	44	43	25	18	33
ENSG00000239906.1	ENSG00000239906	lncRNA	0	0	0	0	0	0
ENSG00000241860.7	ENSG00000241860	lncRNA	3	9	5	5	7	8
ENSG00000222623.1	RNU6-1100P	snRNA	0	0	0	0	0	0
ENSG00000241599.1	ENSG00000241599	lncRNA	0	0	0	0	0	0
ENSG00000279928.2	DDX11L17	unprocessed_pseudogene	0	0	0	0	0	0
ENSG00000279457.4	WASH9P	unprocessed_pseudogene	19	37	53	48	76	40
ENSG00000273874.1	MIR6859-2	miRNA	0	0	0	0	0	0
ENSG00000228463.10	ENSG00000228463	transcribed_processed_pseudogene	0	0	0	0	0	3
ENSG00000286448.1	ENSG00000286448	lncRNA	0	0	0	0	1	0
ENSG00000236679.2	RPL23AP24	processed_pseudogene	0	0	0	0	0	0
ENSG00000236601.2	ENSG00000236601	lncRNA	0	0	0	0	0	0
ENSG00000237094.12	ENSG00000237094	transcribed_unprocessed_pseudogene	41	61	86	62	46	71
ENSG00000269732.1	WBP1LP7	processed_pseudogene	0	0	0	0	0	0
ENSG00000284733.2	OR4F29	protein_coding	0	0	0	0	0	0
ENSG00000233653.3	CICP7	processed_pseudogene	0	0	0	0	0	0
ENSG00000250575.1	ENSG00000250575	unprocessed_pseudogene	0	0	0	0	0	0
ENSG00000278757.1	U6	snRNA	0	0	0	0	0	0
ENSG00000230021.10	ENSG00000230021	transcribed_processed_pseudogene	8	9	6	10	8	10
ENSG00000235146.2	ENSG00000235146	lncRNA	0	0	0	0	0	0
ENSG00000225972.1	MTND1P23	unprocessed_pseudogene	9	14	29	13	9	6
ENSG00000225630.1	MTND2P28	unprocessed_pseudogene	3246	2101	3956	3295	2388	2384
ENSG00000237973.1	MTCO1P12	unprocessed_pseudogene	118	320	406	220	355	194
ENSG00000278791.1	ENSG00000278791	miRNA	0	0	1	0	0	0
ENSG00000229344.1	MTCO2P12	unprocessed_pseudogene	11	16	23	27	19	20
ENSG00000240409.1	MTATP8P1	unprocessed_pseudogene	0	1	0	0	0	0
ENSG00000248527.1	MTATP6P1	unprocessed_pseudogene	13594	9039	19386	14306	10022	11111
ENSG00000198744.5	MTCO3P12	unprocessed_pseudogene	39	50	58	77	22	46
ENSG00000268663.1	WBP1LP6	processed_pseudogene	0	0	0	0	0	0
ENSG00000284662.2	OR4F16	protein_coding	0	0	0	0	0	0
ENSG00000229376.3	CICP3	processed_pseudogene	0	0	0	0	0	0
ENSG00000228327.5	ENSG00000228327	transcribed_unprocessed_pseudogene	41	28	96	71	62	79
ENSG00000223181.1	RNU6-1199P	snRNA	0	0	0	0	0	0
ENSG00000229905.1	ENSG00000229905	lncRNA	0	0	0	0	0	0
ENSG00000237491.10	LINC01409	lncRNA	24	54	76	61	116	78
ENSG00000285268.1	ENSG00000285268	transcribed_processed_pseudogene	0	0	0	0	0	0
ENSG00000230092.7	ENSG00000230092	transcribed_unprocessed_pseudogene	2	1	2	4	5	11
ENSG00000177757.2	FAM87B	lncRNA	0	1	1	0	0	0
ENSG00000225880.6	LINC00115	lncRNA	21	20	62	26	100	56
ENSG00000228794.12	LINC01128	lncRNA	314	375	632	578	591	472
ENSG00000288531.1	ENSG00000288531	lncRNA	0	1	1	2	0	1
ENSG00000230368.2	FAM41C	lncRNA	0	0	0	0	0	0
ENSG00000234711.1	TUBB8P11	unprocessed_pseudogene	1	0	0	0	0	0
ENSG00000283040.1	ENSG00000283040	transcribed_unprocessed_pseudogene	0	0	0	0	0	0
ENSG00000272438.1	ENSG00000272438	lncRNA	12	7	26	29	30	29
ENSG00000230699.2	ENSG00000230699	lncRNA	42	30	145	159	160	165
ENSG00000241180.1	ENSG00000241180	lncRNA	0	1	8	1	4	3
ENSG00000223764.2	LINC02593	lncRNA	0	3	10	7	529	326
ENSG00000187634.13	SAMD11	protein_coding	26	25	68	29	3575	1782
ENSG00000188976.11	NOC2L	protein_coding	4741	4232	5358	4423	4220	2839
ENSG00000187961.15	KLHL17	protein_coding	813	839	1130	526	941	603
ENSG00000187583.11	PLEKHN1	protein_coding	34	32	18	4	11	24
ENSG00000187642.10	PERM1	protein_coding	0	0	1	2	0	3
ENSG00000272512.1	ENSG00000272512	lncRNA	3	4	5	21	82	57
ENSG00000188290.11	HES4	protein_coding	49	38	168	190	1390	723
ENSG00000187608.10	ISG15	protein_coding	701	640	779	573	1138	517
ENSG00000231702.2	ENSG00000231702	processed_pseudogene	0	0	0	0	0	0
ENSG00000224969.1	ENSG00000224969	lncRNA	2	1	3	0	4	1
ENSG00000188157.15	AGRN	protein_coding	8145	7775	10433	9150	9593	10280
ENSG00000242590.1	ENSG00000242590	lncRNA	0	0	0	0	0	0
ENSG00000217801.12	ENSG00000217801	transcribed_unprocessed_pseudogene	73	62	104	44	95	66
ENSG00000273443.1	ENSG00000273443	lncRNA	0	0	0	0	0	0
ENSG00000237330.3	RNF223	protein_coding	1	0	2	2	2	2
ENSG00000131591.18	C1orf159	protein_coding	462	482	863	672	844	559
ENSG00000285812.1	ENSG00000285812	lncRNA	0	0	0	0	0	0
ENSG00000223823.1	LINC01342	lncRNA	6	4	0	0	0	0
ENSG00000207730.3	MIR200B	miRNA	0	0	0	0	0	0
ENSG00000207607.3	MIR200A	miRNA	0	0	0	0	0	0
ENSG00000198976.1	MIR429	miRNA	2	2	0	0	0	0
ENSG00000272141.1	ENSG00000272141	lncRNA	63	35	2	0	3	0
ENSG00000205231.1	TTLL10-AS1	lncRNA	1	1	1	0	1	0
ENSG00000162571.14	TTLL10	protein_coding	41	23	42	16	10	7
ENSG00000186891.14	TNFRSF18	protein_coding	25	21	12	5	4	4
ENSG00000186827.12	TNFRSF4	protein_coding	3	0	3	1	1	3
ENSG00000078808.20	SDF4	protein_coding	2970	2652	3703	2565	4131	2523
ENSG00000176022.7	B3GALT6	protein_coding	924	587	1955	1646	2130	937
ENSG00000184163.3	C1QTNF12	protein_coding	59	48	153	44	144	112
ENSG00000260179.1	ENSG00000260179	lncRNA	3	5	8	6	6	9
ENSG00000160087.21	UBE2J2	protein_coding	2210	1991	3259	2394	2870	1762
ENSG00000230415.1	LINC01786	lncRNA	12	13	19	9	12	12
ENSG00000162572.21	SCNN1D	protein_coding	103	83	169	118	158	94
ENSG00000131584.19	ACAP3	protein_coding	918	853	1575	1191	1501	976
ENSG00000278073.1	MIR6726	miRNA	0	0	0	0	0	0
ENSG00000169972.12	PUSL1	protein_coding	1130	828	1060	745	847	471
ENSG00000127054.22	INTS11	protein_coding	3434	3188	3751	2281	3497	2160
ENSG00000283712.1	MIR6727	miRNA	0	0	0	0	0	0
ENSG00000240731.1	ENSG00000240731	lncRNA	30	34	43	41	46	50
ENSG00000224051.7	CPTP	protein_coding	449	315	637	422	593	381
ENSG00000169962.5	TAS1R3	protein_coding	5	5	9	4	4	4
ENSG00000107404.21	DVL1	protein_coding	2368	2570	3005	2531	3189	1884
ENSG00000284372.1	MIR6808	miRNA	0	0	0	0	0	0
ENSG00000162576.17	MXRA8	protein_coding	504	484	1311	619	3037	1797
ENSG00000175756.14	AURKAIP1	protein_coding	3924	3206	3846	2628	3725	1638
ENSG00000223663.2	NDUFB4P8	processed_pseudogene	0	3	2	0	1	0
ENSG00000221978.13	CCNL2	protein_coding	4237	4981	11194	5402	9183	5723
ENSG00000224870.9	MRPL20-AS1	lncRNA	763	656	1094	642	1268	655
ENSG00000242485.6	MRPL20	protein_coding	3355	3227	3645	2632	3295	1513
ENSG00000264293.2	RN7SL657P	misc_RNA	0	0	0	0	0	0
ENSG00000272455.1	MRPL20-DT	lncRNA	122	138	278	168	494	327
ENSG00000235098.9	ANKRD65	protein_coding	111	115	620	280	246	141
ENSG00000225905.1	ANKRD65-AS1	lncRNA	8	9	8	14	8	4
ENSG00000205116.4	TMEM88B	protein_coding	195	245	400	254	218	171
ENSG00000225285.1	LINC01770	lncRNA	67	40	5	4	9	12
ENSG00000179403.12	VWA1	protein_coding	1445	1379	749	703	687	596
ENSG00000215915.10	ATAD3C	protein_coding	71	140	51	41	30	38
ENSG00000160072.20	ATAD3B	protein_coding	1407	1349	1809	1210	979	712
